row_index,google_place_id,name,category,location_zone,weighted_score,average_rating,review_count
0,ChIJiYix3uCbqTMRAqkwfbD7es0,Fort San Pedro,attraction,cebu_city,0.8001848772594393,4.2,7863.0
1,ChIJPwVVvlqfqTMR8k8YW0-7Luo,Temple of Leah,attraction,cebu_city,0.8001411961928331,4.2,10311.0
2,ChIJAeJQylufqTMRoYHzWBE4lzM,TOPS Cebu,attraction,cebu_city,0.8745781877082153,4.5,5372.0
3,ChIJdZVg9F6ZqTMRbU7ErBLR6vU,Casa Gorordo Museum,museum,cebu_city,0.8971994724892661,4.6,1213.0
4,ChIJQVwA2-ObqTMR--ZXFjrCXiQ,Magellan's Cross,history,cebu_city,0.8499139721073367,4.4,12005.0
5,ChIJmRDV5l6ZqTMR_TGUzibVfww,Yap-San Diego Ancestral House,history,cebu_city,0.8494819848920795,4.4,1952.0
6,ChIJH7-Frg-hqTMRcR-eubefklo,Sirao Garden,attraction,north_metro,0.8497106399983101,4.4,3534.0
7,ChIJz_XF1U-ZqTMRLuh28VvaWq0,Sky Experience Adventure,attraction,cebu_city,0.8015318678051762,4.2,905.0
8,ChIJkRLIDF2ZqTMRYsvjh5V6j3M,Museo Sugbo,museum,cebu_city,0.8252135744773753,4.3,947.0
9,ChIJdWAY9omZqTMR5PT1YBVRFhM,Beverly Hills Lahug Cebu City,attraction,cebu_city,0.8601489204801508,4.5,104.0
10,ChIJU4E_P7yeqTMRmYjKAQ_D5kY,Celestial Garden,religious,cebu_city,0.7797893056042371,3.8,31.0
11,ChIJXZDS_wqcqTMRtjB3-gvX4X4,The Cube - SM Seaside City,history,cebu_city,0.825489502882628,4.3,385.0
12,ChIJ8ZcMGyuZqTMRh0kBRAhSv_o,Cebu Taoist Temple,religious,cebu_city,0.825099316116578,4.3,2094.0
13,ChIJtUqLDKibqTMRvX48jFWyLX8,Downtown Cebu City,attraction,cebu_city,0.7993822292323869,3.6,10.0
14,ChIJSWEB-vehqTMRqKcQS5qhODE,Budlaan Falls,attraction,cebu_city,0.8258005028343729,4.3,216.0
15,ChIJadEVV0yZqTMRekT3PI-8Jwc,Cebu Kilometer Zero,attraction,cebu_city,0.8476768432871731,4.8,9.0
16,ChIJQYJWH1-ZqTMRL8vTiCw8NSk,1730 Jesuit House,museum,cebu_city,0.885503826860423,4.6,194.0
17,ChIJ4dWUPl-ZqTMRRAXUfxKt42s,Colon Obelisk arcae,history,cebu_city,0.7314812159449383,3.6,60.0
18,ChIJhwbYF6KhqTMRnblKTxe9bqo,Heritage of Cebu Monument,history,cebu_city,0.8251990035083582,4.3,1020.0
19,ChIJ1x1EHOGbqTMR5_q34HlTerk,Plaza Independencia,nature,cebu_city,0.8493910356746585,4.4,1653.0
20,ChIJocIZfv6bqTMRMHD_dmj-wqg,Taboan Public Market,attraction,cebu_city,0.8250352772952191,4.3,5986.0
21,ChIJAaoG--ObqTMRRGDPktel7bk,Sugbu Chinese Heritage Museum,history,cebu_city,0.783584184355451,4.0,68.0
22,ChIJpbDccACbqTMRJYVjO8bttgI,Cebu City Seawall,attraction,cebu_city,0.7918626326355033,3.7,16.0
23,ChIJ__-v5-GbqTMRZsiTt-BnJLw,Rajah Humabon Monument & Humabon Historical Marker,history,cebu_city,0.7636544109648645,3.7,37.0
24,ChIJT7kt7uGbqTMRE9pS3Ayv3ao,Archdiocesan Museum of Cebu,museum,cebu_city,0.8255193506193736,4.3,360.0
