name,google_place_id,search_query,latitude,longitude,address,average_rating,review_count,category,description,description_original
Fort San Pedro,ChIJiYix3uCbqTMRAqkwfbD7es0,tourist attractions in Cebu City,10.292457,123.905636,"7WR4+X7J, A. Pigafetta Street, Cebu City, 6000 Cebu, Philippines",4.2,7863.0,attraction,"Fort San Pedro attraction Remains of a triangular stone Spanish fortress, dating to 1738, today housing a garden & museum. tourist attraction museum Location: Plaza Independencia, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: Oldest fort in the Philippines (military defense structure) This fort was built in the early 1700s to protect against Muslim raids.","Remains of a triangular stone Spanish fortress, dating to 1738, today housing a garden & museum."
Temple of Leah,ChIJPwVVvlqfqTMR8k8YW0-7Luo,tourist attractions in Cebu City,10.3688615,123.87325349999998,"9V9F+G8R, Cebu Transcentral Hwy, Cebu City, 6000 Cebu, Philippines",4.2,10311.0,attraction,"Temple of Leah attraction Built in 2012, this elaborate Roman-style temple is dedicated to Leah Villa Albino-Adarna. tourist attraction Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view","Built in 2012, this elaborate Roman-style temple is dedicated to Leah Villa Albino-Adarna."
TOPS Cebu,ChIJAeJQylufqTMRoYHzWBE4lzM,tourist attractions in Cebu City,10.3706141,123.8708714,"Cebu Tops Rd, Cebu City, 6000 Cebu, Philippines",4.5,5372.0,nature,"TOPS Cebu nature Popular observation spot with casual dining options & sweeping views of the city. observation deck tourist attraction Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens",Popular observation spot with casual dining options & sweeping views of the city.
Casa Gorordo Museum,ChIJdZVg9F6ZqTMRbU7ErBLR6vU,tourist attractions in Cebu City,10.299913,123.9048616,"35 Eduardo Aboitiz St, Cebu City, 6000 Cebu, Philippines",4.6,1213.0,museum,"Casa Gorordo Museum Built in the 1850s, this former residence of Juan Gorordo offers guided tours, a cafe & a gift shop. museum tourist attraction historical landmark historical place Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: House museum Casa Gorordo is a house museum located in the historic Parian district of Cebu, the oldest city in the Philippines. Built in the 1850's, it lived through several important social changes that shaped…","Built in the 1850s, this former residence of Juan Gorordo offers guided tours, a cafe & a gift shop."
Magellan's Cross,ChIJQVwA2-ObqTMR--ZXFjrCXiQ,tourist attractions in Cebu City,10.2935626,123.9019549,"7WV2+CQG, P. Burgos St, Cebu City, 6000 Cebu, Philippines",4.4,12005.0,history,"Magellan's Cross history Cross brought by Spanish explorers in 1521, marking the start of Christianity in the Philippines. historical landmark tourist attraction historical place monument Location: Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: One of the oldest churches in Cebu, iconic / historical landmark This is the spot where Ferdinand Magellan planted a cross in the soil in 1521 and claimed the Philippines for Spain.","Cross brought by Spanish explorers in 1521, marking the start of Christianity in the Philippines."
Yap-San Diego Ancestral House,ChIJmRDV5l6ZqTMR_TGUzibVfww,tourist attractions in Cebu City,10.2992716,123.9039535,"155 Mabini St, Cebu City, 6000 Cebu, Philippines",4.4,1952.0,history,"Yap-San Diego Ancestral House history Historic residence constructed in the 17th century featuring hand-carved furniture, art & a garden. historical landmark tourist attraction historical place museum Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: One of the oldest homes in Cebu City One of the oldest residential structure in the Philippines.","Historic residence constructed in the 17th century featuring hand-carved furniture, art & a garden."
Sirao Garden,ChIJH7-Frg-hqTMRcR-eubefklo,tourist attractions in Cebu City,10.4061578,123.8658416,"Cebu City, 6000 Cebu, Philippines",4.4,3534.0,attraction,"Sirao Garden attraction Location: Sirao, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: “Little Amsterdam” Garden Feels, Flower Gardens, Instagrammable Spots tourist attraction","Location: Sirao, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: “Little Amsterdam” Garden Feels, Flower Gardens, Instagrammable Spots"
Sky Experience Adventure,ChIJz_XF1U-ZqTMRLuh28VvaWq0,tourist attractions in Cebu City,10.3078635,123.8941119,"Osmeña Blvd, Cebu City, 6000 Cebu, Philippines",4.2,905.0,attraction,"Sky Experience Adventure attraction Amusement complex atop Crown Regency Hotel, with rides, dining, a disco & high-altitude activities. tourist attraction amusement center Location: Balamban, (uphill) Northernwestern Cebu — approx. 3-4 hours away from Mactan Airport. | What to expect: Horseback riding, Sky Biking, Zip Lining, Camping, Hiking This place is temporarily closed","Amusement complex atop Crown Regency Hotel, with rides, dining, a disco & high-altitude activities."
Museo Sugbo,ChIJkRLIDF2ZqTMRYsvjh5V6j3M,tourist attractions in Cebu City,10.303791,123.90643109999998,"731 M. J. Cuenco Ave, Cebu City, 6000 Cebu, Philippines",4.3,947.0,museum,"Museo Sugbo museum Museum within a former jail featuring several galleries focused on regional history & culture. museum tourist attraction Location: Parian, Cebu City — approx. 1.5 hours away from Mactan Airport. | What to expect: 18th century house remarkably preserved behind big walls in the heart of Parian district",Museum within a former jail featuring several galleries focused on regional history & culture.
Beverly Hills Lahug Cebu City,ChIJdWAY9omZqTMR5PT1YBVRFhM,tourist attractions in Cebu City,10.3331125,123.8896094,"8VMQ+6RX, Unnamed Road, Cebu City, 6000 Cebu, Philippines",4.5,104.0,attraction,"Beverly Hills Lahug Cebu City attraction Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center tourist attraction","Location: South Road Properties, Cebu City (across SM Seaside City Cebu) — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 marine species, Water Show, Convention Center"
