source,dataset_type,name,google_category_raw,types,google_rating,google_review_count,price_level_raw,price_range,latitude,longitude,address,google_description,google_url,website,google_place_id,sample_reviews,sample_review_ratings,serves_breakfast,serves_lunch,serves_dinner,serves_coffee,serves_dessert,serves_vegetarian_food,serves_beer,serves_wine,takeout,dine_in,delivery,outdoor_seating,search_query,category_norm,ta_matched_name,ta_match_score,ta_rating,ta_review_count,ta_category,ta_description,ta_url,ta_price_range,osm_matched_name,osm_match_score,osm_category,osm_description,osm_latitude,osm_longitude,sugbo_matched_name,sugbo_match_score,sugbo_category,sugbo_description,sugbo_what_to_expect,sugbo_location_text,sugbo_image_url,sugbo_url,drop_reason
Google Places,poi,Eliseo Delima Thumb,tourist_attraction,"tourist_attraction, point_of_interest, establishment",,,,,10.2949641,123.90669509999998,"Evergreen, Cebu City, 6000 Cebu, Philippines",,https://maps.google.com/?cid=5063926439012361146&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,ChIJW3UMn9ybqTMRumMKNkSuRkY,,,,,,,,,,,,,,,tourist spots in Cebu,attraction,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,no_google_rating
Google Places,poi,Paulina Constancia Museum of Naïve Art (MoNA),art_museum,"art_museum, museum, point_of_interest, establishment",,,,,10.0608182,123.63332389999998,"3J6M+88G Justice German Lee Jr. Nature Sanctuary, Bacsije Rd, Carcar, Cebu, Philippines",,https://maps.google.com/?cid=11081264957766074579&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,ChIJ-Y21H47XqzMR04ChncSPyJk,,,,,,,,,,,,,,,museums in Cebu,museum,Paulina Constancia Museum of Naive Art,91.4,4.7,6.0,Speciality Museums • Art Museums,"The Paulina Constancia Museum of Naive Art [MoNA] is part of West Gorordo Hotel’s Cultural Stewardship Program. It is a means to showcase, share and protect local art and culture. Through the Museum…",https://www.tripadvisor.com/Attraction_Review-g298460-d10066503-Reviews-Paulina_Constancia_Museum_of_Naive_Art-Cebu_City_Cebu_Island_Visayas.html,,,0.0,,,,,Temple of Leah,85.5,religious / historical,"Location: Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport. | What to expect: Majestic structures, Overlooking view","Majestic structures, Overlooking view","Busay, (uphill) Cebu City — approx. 2 hours away from Mactan Airport.",https://sugbo.ph/wp-content/uploads/2016/03/temple-of-leah-cebu1.jpg,https://sugbo.ph/2017/temple-of-leah/,no_google_rating
Google Places,poi,Ebo Falls,tourist_attraction,"tourist_attraction, point_of_interest, establishment",,,,,10.3753742,123.7880837,"9QGQ+46W, Morga, Cebu City, 6000 Cebu, Philippines",,https://maps.google.com/?cid=981545485852871123&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,ChIJO4eGRtJ1qTMR0wkmP2smnw0,,,,,,,,,,,,,,,waterfalls in Cebu,attraction,,0.0,,,,,,,,0.0,,,,,Canyoneering / Kawasan Falls,85.5,waterfall / adventure,"Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity","Kawasan Falls, Canyoneering Activity","Badian, Southern Cebu — approx. 4 hours away from Mactan Airport.",https://sugbo.ph/wp-content/uploads/2018/01/canyoneering-kawasan-cebu-1024x651.jpg,https://sugbo.ph/2018/canyoneering-in-kawasan-falls/,no_google_rating
Google Places,poi,Dakit Tubod Falls,tourist_attraction,"tourist_attraction, point_of_interest, establishment",,,,,10.2939073,123.775777,"7QVG+H86, Minglanilla, Cebu, Philippines",,https://maps.google.com/?cid=8405509102721207763&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,ChIJ--y-k6x3qTMR040CoP5dpnQ,,,,,,,,,,,,,,,waterfalls in Cebu,attraction,,0.0,,,,,,,Tubod Flowing Water Resort,85.5,resort,,10.2624943,123.798695,Canyoneering / Kawasan Falls,85.5,waterfall / adventure,"Location: Badian, Southern Cebu — approx. 4 hours away from Mactan Airport. | What to expect: Kawasan Falls, Canyoneering Activity","Kawasan Falls, Canyoneering Activity","Badian, Southern Cebu — approx. 4 hours away from Mactan Airport.",https://sugbo.ph/wp-content/uploads/2018/01/canyoneering-kawasan-cebu-1024x651.jpg,https://sugbo.ph/2018/canyoneering-in-kawasan-falls/,no_google_rating
Google Places,poi,Tinisig Uwang Falls,tourist_attraction,"tourist_attraction, point_of_interest, establishment",,,,,10.3849587,123.8875953,"9VMQ+X2Q Baugo, Cebu City, 6000 Cebu, Philippines",,https://maps.google.com/?cid=12176874100246780940&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,ChIJ5Q4cMwCjqTMRDBzdc3ry_Kg,,,,,,,,,,,,,,,waterfalls in Cebu,attraction,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,no_google_rating
Google Places,poi,Cebu city beach,fishing_pond,"fishing_pond, point_of_interest, establishment",,,,,10.2700443,123.8616154,"7VC6+2J9, Cogon Pardo, Cebu City, 6000 Cebu, Philippines",,https://maps.google.com/?cid=3104652456332383515&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,ChIJjyzmbACdqTMRG1W8uvXwFSs,,,,,,,,,,,,,,,beaches in Cebu,nature,Robinsons Galleria Cebu,85.5,4.1,119.0,Department Stores • Shopping Malls,,https://www.tripadvisor.com/Attraction_Review-g298460-d9716443-Reviews-Robinsons_Galleria_Cebu-Cebu_City_Cebu_Island_Visayas.html,,,0.0,,,,,Cebu Safari and Adventure Park,85.5,garden / nature,"Location: Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport. | What to expect: Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens","Over 100 animal species, Zipline, ATV, Safari Accommodations, Gardens","Carmen, Northern Cebu — approx. 2 hours away from Mactan Airport.",https://sugbo.ph/wp-content/uploads/2018/11/cebusafari-1.jpg,https://sugbo.ph/2018/day-tour-guide-cebu-safari/,no_google_rating
Google Places,poi,Bloom Garden,garden,"garden, point_of_interest, establishment",,,,,10.2934271,123.86817990000002,"6 E Sabellano Street, Cebu City, 6000 Cebu, Philippines",,https://maps.google.com/?cid=1390988368957246914&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,ChIJkzubtjedqTMRwo1lQo3ITRM,,,,,,,,,,,,,,,gardens in Cebu,nature,Sirao Pictoral Garden,85.5,3.9,301.0,Gardens,,https://www.tripadvisor.com/Attraction_Review-g298460-d11759529-Reviews-Sirao_Pictoral_Garden-Cebu_City_Cebu_Island_Visayas.html,,,0.0,,,,,Don Emilio Botanical Garden,85.5,garden / nature,"Location: Busay, (uphill) Cebu City — just near Tops Lookout, approx. 2 hours away from Mactan Airport. | What to expect: Pyramid sheds, Flower gardens, Pool","Pyramid sheds, Flower gardens, Pool","Busay, (uphill) Cebu City — just near Tops Lookout, approx. 2 hours away from Mactan Airport.",https://sugbo.ph/wp-content/uploads/2019/05/Dr-Emilio-Osmeña-Botanical-Garden-Cebu-City-1-1024x632.jpg,https://sugbo.ph/2019/dr-emilio-osmena-botanical-garden-resort/,no_google_rating
Google Places,poi,Asteraceae Gardens,garden,"garden, point_of_interest, establishment",,,,,10.4084589,123.9172356,"Sitio Tapuko Rd, Cebu City, 6000 Cebu, Philippines",,https://maps.google.com/?cid=12754979421122898369&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,ChIJNxBll0GjqTMRwalyaTTKArE,,,,,,,,,,,,,,,gardens in Cebu,nature,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,no_google_rating
Google Places,poi,MelVic Private Gardens,tourist_attraction,"tourist_attraction, point_of_interest, establishment",,,,,10.4636389,123.8973611,"FV7W+5PQ, Cebu City, 6000 Cebu, Philippines",,https://maps.google.com/?cid=1685230597318022528&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,ChIJyWGqAwClqTMRgJXCrUwkYxc,,,,,,,,,,,,,,,gardens in Cebu,attraction,Rides - Cebu Private Tours & Rental Cars,85.5,5.0,7.0,Private Tours • Day Trips,"Your go-to for affordable and reliable car rentals and city tours package! Welcome to Route - Cebu Tours and Services! I’m Gee, a local tour guide who loves traveling and has a deep knowledge of Cebu…",https://www.tripadvisor.com/Attraction_Review-g298460-d28001443-Reviews-Rides_Cebu_Private_Tours_Rental_Cars-Cebu_City_Cebu_Island_Visayas.html,,,0.0,,,,,,0.0,,,,,,,no_google_rating
Google Places,poi,Ang Hardinera,garden,"garden, point_of_interest, establishment",,,,,10.3422624,123.8925165,"0071 - C Holy Family Rd, Cebu City, 6000 Cebu, Philippines",,https://maps.google.com/?cid=420253739422359424&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,https://www.facebook.com/anghardineraph/,ChIJjd8cXNCZqTMRgJ_MpYwK1QU,,,,,,,,,,,,,,,gardens in Cebu,nature,,0.0,,,,,,,Ang Madugong Linggo ng Palaspas 1898,85.5,memorial,,10.2968056,123.8886984,,0.0,,,,,,,no_google_rating
