source,name,category,average_rating,price_range,latitude,longitude,description
OpenStreetMap,Mayflower Inn,hotel,,,10.3171084,123.8920982,
OpenStreetMap,Kaffee Rafael,cafe,,,10.3156399,123.8921272,
OpenStreetMap,Yayoy's Grill & Resto Bar,restaurant,,,10.3127392,123.8903028,
OpenStreetMap,STK ta Bay,restaurant,,,10.3128918,123.8902456,
OpenStreetMap,Cyma Restuarant,restaurant,,,10.3184556,123.9059813,
OpenStreetMap,Coffee Bean & Tea Leaf,cafe,,,10.3187219,123.905898,
OpenStreetMap,Prince Court Hotel,motel,,,10.3194457,123.9185771,
OpenStreetMap,Hotel Sangelec Travellers Inn,motel,,,10.3305992,123.9480961,
OpenStreetMap,Laguna Cafe,restaurant,,,10.3182238,123.905502,
OpenStreetMap,Starbucks,cafe,,,10.3193309,123.9052112,
OpenStreetMap,Kaishu,restaurant,,,10.312742,124.024079,
OpenStreetMap,AA's BBQ Restaurant,restaurant,,,10.3043543,123.9601893,
OpenStreetMap,Queensland Manor,motel,,,10.307699,123.909542,
OpenStreetMap,Lighthouse Restaurant,restaurant,,,10.3109039,123.9029052,
OpenStreetMap,The New White Gold House Rest,restaurant,,,10.306416,123.9101145,
OpenStreetMap,Cesario Inn,motel,,,10.3223148,123.9679332,
OpenStreetMap,Boosog Restaurant,restaurant,,,10.3123242,123.8949128,
OpenStreetMap,Cafe 5R resto,restaurant,,,11.2743451,124.0637653,
OpenStreetMap,Lola Nitang Pension House,guest_house,,,10.4815683,123.4200544,
OpenStreetMap,La Grotta Italian Restaurant,restaurant,,,10.4913684,123.399668,
OpenStreetMap,SJRI Guest House,guest_house,,,10.4916688,123.4118371,
OpenStreetMap,Moms Small Hotel And Restaurant,restaurant,,,10.4863315,123.415041,
OpenStreetMap,A&C Pension Haus,guest_house,,,10.4836918,123.4222035,
OpenStreetMap,YM Business Inn,guest_house,,,10.4840171,123.4178356,
OpenStreetMap,Waddy's Place,restaurant,,,10.5221355,123.3267662,
OpenStreetMap,Jilla's Cafe,cafe,,,10.5223689,123.3256698,
OpenStreetMap,Nabatang Peak,picnic_site,,,10.521798,123.3122727,
OpenStreetMap,Agus Hotel,motel,,,10.279226,123.986253,
OpenStreetMap,Badminton Plaza,pitch,,,10.313607,123.927491,
OpenStreetMap,Bernadette's Lechon,restaurant,,,10.310534,123.914791,
OpenStreetMap,Hiros Apartelle,motel,,,10.2912782,123.9898523,
OpenStreetMap,Jo's Chicken Inasal,restaurant,,,10.325918,123.9225788,
OpenStreetMap,JPark,resort,,,10.282758,123.9955086,
OpenStreetMap,Mactan Isla Resort and Casino,motel,,,10.2813986,123.9807225,
OpenStreetMap,Mikado Japanese Restuarant,restaurant,,,10.32163,123.904482,
