param,value,is_default,cbf_p@5,cbf_r@5,cbf_ndcg@5,cbf_p@10,cbf_r@10,cbf_ndcg@10,cf_p@5,cf_r@5,cf_ndcg@5,cf_p@10,cf_r@10,cf_ndcg@10,hybrid_p@5,hybrid_r@5,hybrid_ndcg@5,hybrid_p@10,hybrid_r@10,hybrid_ndcg@10
alpha,0.25,False,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
alpha,0.5,True,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
alpha,0.75,False,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
like_threshold,3.0,False,0.2408,0.1604,0.2771,0.2092,0.243,0.2732,0.1837,0.1303,0.1978,0.1612,0.1957,0.2015,0.2531,0.1615,0.2632,0.2214,0.2488,0.2639
like_threshold,3.5,True,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
like_threshold,4.0,False,0.2391,0.2436,0.313,0.2043,0.3416,0.3205,0.187,0.2128,0.2356,0.1587,0.2854,0.2446,0.2543,0.2473,0.2986,0.2152,0.3471,0.3066
similarity_metric,cosine,True,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
similarity_metric,pearson,False,0.2255,0.1953,0.2848,0.2138,0.297,0.2991,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2638,0.2158,0.2967,0.2266,0.3142,0.2989
text_weight,0.3,False,0.2277,0.1997,0.2886,0.2191,0.3011,0.3038,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
text_weight,0.5,True,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
text_weight,0.7,False,0.2426,0.2118,0.2874,0.2223,0.3105,0.3003,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
max_features,500,False,0.2404,0.209,0.2909,0.2096,0.2965,0.2918,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
max_features,1000,False,0.2404,0.2034,0.2955,0.2191,0.3031,0.3034,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
max_features,None,True,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
ngram_range,"(1, 1)",False,0.2298,0.2006,0.2617,0.2011,0.2884,0.2705,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
ngram_range,"(1, 2)",True,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
ngram_range,"(1, 3)",False,0.2106,0.1969,0.2489,0.2021,0.2989,0.2731,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
min_df,1,False,0.2149,0.1981,0.2545,0.1936,0.2848,0.2661,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2913,0.2287,0.3166,0.2978
min_df,2,True,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
min_df,3,False,0.2362,0.2061,0.2931,0.2128,0.303,0.2992,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
n_factors,10,False,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.2255,0.1994,0.2637,0.1819,0.27,0.2572,0.2426,0.2047,0.2812,0.2096,0.2923,0.283
n_factors,20,True,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
n_factors,50,False,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1064,0.1268,0.143,0.0883,0.169,0.1507,0.2213,0.2016,0.2722,0.2011,0.2919,0.2817
bayesian_m,20,False,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
bayesian_m,50,True,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
bayesian_m,100,False,0.2468,0.2087,0.3081,0.2138,0.2998,0.3064,0.1915,0.184,0.2261,0.1681,0.2599,0.2346,0.2617,0.2154,0.2927,0.2287,0.3166,0.2987
